sampleID,region,location,siteID,depth,filter,subset,lat,long,MPA,management,restriction,npp_mean,land_area_20km,land_area_25km,reef_area_15km,reef_area_20km,wave_mean,pop2020_25km,dist_market,land_area_15km,avg_complexity,cover,detritAbund,carniAbund,herbAbund,invertAbund,omniAbund,planktAbund,coraliAbund,NAAbund,fishBiomass,hardCoral_percent,availSubstrate_percent,other_percent,rubble_percent,algae_percent,softCoral_percent,noData_percent,abundance,target_biomass,nontarget_biomass,total_biomass,copepod_percent_v9,anthozoa_percent,ascidian_percent,bivalve_percent,copepod_percent,sponge_percent,filterFeeder_percent
EB204,Waigeo,Waigeo,WGO_03,M,0.4um,M04,-0.528333333,130.605,yes,core zone,fishing prohibited,1309.819804,279.8198977,401.2406473,45,54,0.557629234,2735,442.5454241,216.7584554,3.85,0.2925,37,29,75,56,347,1165,32,0,24615.41716,29.25,15.25,5.25,41,0.5,8.75,0,1741,10824.90121,13790.51595,24615.41716,0.279449395,NA,NA,NA,NA,NA,NA
EB206,Waigeo,Waigeo,WGO_04,M,0.4um,M04,-0.5175,130.64,yes,core zone,fishing prohibited,1309.819804,327.0627276,486.5345617,38.5,61.5,0.664799297,3312,445.8676828,209.7043085,4.5,0.3325,45,85,127,45,240,1535,23,688,47699.66684,33.25,17.25,4.25,19.25,13.75,12.25,0,2788,16649.21421,31050.45263,47699.66684,0.032041557,0,0,0,0,0,0
EB208,Waigeo,Waigeo,WGO_05,M,0.4um,M04,-0.569722222,130.6575,yes,tourism zone,fishing prohibited,1168.277725,228.7295305,356.9901112,59.5,83.25,0.013973438,2446,442.4917484,126.3352132,4.066666667,0.34875,21,107,189,71,117,1489,34,973,164748.4694,69.75,22.75,4.25,19.75,20,63.5,0,3001,118828.4735,45919.99595,164748.4694,0.037644169,0,0.008962109,0,0,0.002701812,0.011663921
EB210,Waigeo,Waigeo,WGO_06,M,0.4um,M04,-0.497777778,130.8108333,yes,tourism zone,fishing prohibited,1555.748625,390.7669257,595.1299179,16,42.75,0.066408229,4155,453.569737,222.3176512,4.65,0.2025,38,275,82,73,431,955,40,297,73476.42824,20.25,24.75,5,33.75,0.5,15.75,0,2191,40926.40005,32550.02819,73476.42824,0.232834156,0,0.005943649,0,0,0,0.005943649
EB212,Waigeo,Waigeo,WGO_07,M,0.4um,M04,-0.4775,130.6966667,yes,tourism zone,fishing prohibited,1309.964629,443.7814053,678.2863188,14.25,43.25,0.047089718,4769,453.2208251,261.6508333,4,0.425,25,45,35,44,217,465,29,0,39624.67998,42.5,20.5,3.25,6.75,1.5,25.5,0,860,14790.74347,24833.93652,39624.67998,0.178963063,0.00174959,0.012392929,0,0,0.004957171,0.01909969
EB214,Waigeo,Waigeo,WGO_08,M,0.4um,M04,-0.488055556,130.6808333,yes,core zone,fishing prohibited,1309.964629,409.1503619,636.1735022,21,52.75,0.047089718,4421,450.8344393,242.62509,4.56,0.5325,18,420,110,59,210,2162,30,839,50386.90333,53.25,26.5,3.25,7.25,2.75,7,0,3848,27892.43075,22494.47259,50386.90333,0.196139914,0.000098811,0.008596555,0,0,0,0.008695366
EB216,Waigeo,Waigeo,WGO_09,M,0.4um,M04,-0.56,130.6866667,yes,tourism zone,fishing prohibited,1168.277725,247.1137092,397.3925109,44.5,89,0.012624655,2731,445.3414202,120.136111,4.1,0.2975,33,56,64,33,270,2686,28,0,68881.65555,29.75,21.25,1.75,11.25,0,36,0,3170,29506.84573,39374.80981,68881.65555,0.219114073,0.000983386,0.003519487,0,0.001889136,0.001915015,0.008307024
EB218,Waigeo,Waigeo,WGO_10,M,0.4um,M04,-0.563611111,130.5191667,yes,tourism zone,fishing prohibited,1391.452028,218.0410078,258.2293928,38.75,44,0.074375428,1808,433.7130968,138.9473501,4.05,0.2675,34,209,137,73,564,1732,40,107,123451.0203,26.75,6.75,2.25,41,0,23.25,0,2896,93475.13494,29975.8854,123451.0203,0.012566291,0,0,0.257412577,0,0,0.257412577
EB220,Waigeo,Waigeo,WGO_11,M,0.4um,M04,-0.563888889,130.285,no,open access,unrestricted fishing,1398.417229,25.22373598,53.22694741,23.75,45.5,0.062551008,333,418.6972044,17.74212678,2.48,0.43,29,92,99,73,628,4692,51,24,60123.45337,43,11.5,1,15.75,2.5,26.25,0,5688,40165.32407,19958.12929,60123.45337,0.289828531,0,0,0,0,0,0
EB221,Waigeo,Waigeo,WGO_12,M,0.4um,M04,-0.604444444,130.2852778,no,open access,unrestricted fishing,1326.468473,364.2636467,618.4370396,25.25,36.5,0.06143634,4344,445.4102043,127.4067065,3.8,0.2725,56,41,122,64,797,2314,33,15,54872.39245,27.25,13.75,1.5,25.75,0,31.75,0,3442,23787.47493,31084.91752,54872.39245,0.398145491,0.005518353,0.005642361,0,0.000434028,0.003100199,0.014694941
EB225,Waigeo,Waigeo,WGO_14,M,0.4um,M04,-0.344444444,130.395,no,open access,unrestricted fishing,1381.524883,328.7793451,641.9533764,28.75,39.25,0.124365124,4444,445.7022614,126.9800025,3.12,0.3475,8,48,103,17,185,314,4,0,17628.12331,34.75,29.75,1.5,29.75,1.75,2.5,0,679,5648.714891,11979.40842,17628.12331,0.200935888,0.021436883,0.008176269,0.452637018,0.000757474,0.000646081,0.124805061
EB226,Waigeo,Waigeo,WGO_16,M,0.4um,M04,-0.818888889,130.6672222,yes,core zone,fishing prohibited,1279.190182,461.2695596,670.5265362,25.25,50.75,0.400283216,5018,421.8565248,277.0195815,3.64,0.6125,11,88,422,41,212,870,62,1155,36036.98948,61.25,7,0.5,4.5,17,9.75,0,2861,12564.22027,23472.76921,36036.98948,0.079962425,0.004194299,0.004903328,0.251554269,0,0.001045734,0.146472393
EB228,Waigeo,Waigeo,WGO_17,M,0.4um,M04,-0.803888889,130.6988889,yes,core zone,fishing prohibited,1279.190182,439.4679308,664.9693607,34.5,51.5,0.400283216,4991,425.4236165,257.3551564,3.24,0.4375,45,118,225,76,475,4545,48,3,75433.22321,43.75,14,0.75,11.5,28.25,1.75,0,5535,28320.63426,47112.58894,75433.22321,0.147723198,0.004082567,0.008891769,0.213280767,0.001241968,0.001511961,0.088485701
